County,Value,,,,,,,,,,,,,,,,,,,,,
Carlow,56875,,,,,,,,,,,,,,,,,,,,,
Dublin,1345402,,,,,,,,,,,,,,,,,,,,,
Kildare,247774,,,,,,,,,,,,,,,,,,,,,
Kilkenny,104160,,,,,,,,,,,,,,,,,,,,,
Laois,91877,,,,,,,,,,,,,,,,,,,,,
Longford,46751,,,,,,,,,,,,,,,,,,,,,
Louth,139703,,,,,,,,,,,,,,,,,,,,,
Meath,220826,,,,,,,,,,,,,,,,,,,,,
Offaly,83150,,,,,,,,,,,,,,,,,,,,,
Westmeath,96221,,,,,,,,,,,,,,,,,,,,,
Wexford,139600,,,,,,,,,,,,,,,,,,,,,
Wicklow,156164,,,,,,,,,,,,,,,,,,,,,
Clare,156164,,,,,,,,,,,,,,,,,,,,,
Cork,584156,,,,,,,,,,,,,,,,,,,,,
Kerry,156458,,,,,,,,,,,,,,,,,,,,,
Limerick,209536,,,,,,,,,,,,,,,,,,,,,
Tipperary,167895,,,,,,,,,,,,,,,,,,,,,
Waterford,127363,,,,,,,,,,,,,,,,,,,,,
Galway,277737,,,,,,,,,,,,,,,,,,,,,
Leitrim,35199,,,,,,,,,,,,,,,,,,,,,
Mayo,137970,,,,,,,,,,,,,,,,,,,,,
Roscommon,70259,,,,,,,,,,,,,,,,,,,,,
Sligo,70198,,,,,,,,,,,,,,,,,,,,,
Cavan,81704,,,,,,,,,,,,,,,,,,,,,
Donegal,167084,,,,,,,,,,,,,,,,,,,,,
Monaghan,65288,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
