County,ValueM,ValueF
Carlow,719.75,557.37
Dublin,874.52,709.75
Kildare,865.83,660.92
Kilkenny,749.81,618.98
Laois,767.78,605.62
Longford,688.15,571.94
Louth,732.01,583.44
Meath,844.96,638.19
Offaly,735.4,580.68
Westmeath,760,602.39
Wexford,692.31,550.38
Wicklow,831.99,631.14
Clare,761,612.76
Cork,830.85,624.49
Kerry,677.04,537.95
Limerick,771.9,625.35
Tipperary,721.09,579.9
Waterford,746.72,576.92
Galway,746.4,633.52
Leitrim,682.66,592.49
Mayo,695.19,568.71
Roscommon,712.64,599.63
Sligo,693.87,617.03
Cavan,714.87,574.54
Donegal,608.36,520.03
Monaghan,655.73,548.84
