County,Value,,,,,,,,,,,,,,,,,,,
Carlow,18130,,,,,,,,,,,,,,,,,,,
Dublin,913986,,,,,,,,,,,,,,,,,,,
Kildare,83721,,,,,,,,,,,,,,,,,,,
Kilkenny,34088,,,,,,,,,,,,,,,,,,,
Laois,25453,,,,,,,,,,,,,,,,,,,
Longford,11713,,,,,,,,,,,,,,,,,,,
Louth,39934,,,,,,,,,,,,,,,,,,,
Meath,69115,,,,,,,,,,,,,,,,,,,
Offaly,22722,,,,,,,,,,,,,,,,,,,
Westmeath,29482,,,,,,,,,,,,,,,,,,,
Wexford,45938,,,,,,,,,,,,,,,,,,,
Wicklow,43321,,,,,,,,,,,,,,,,,,,
Clare,41821,,,,,,,,,,,,,,,,,,,
Cork,199608,,,,,,,,,,,,,,,,,,,
Kerry,50133,,,,,,,,,,,,,,,,,,,
Limerick,70564,,,,,,,,,,,,,,,,,,,
Tipperary,69763,,,,,,,,,,,,,,,,,,,
Waterford,39538,,,,,,,,,,,,,,,,,,,
Galway,157388,,,,,,,,,,,,,,,,,,,
Leitrim,11217,,,,,,,,,,,,,,,,,,,
Mayo,32161,,,,,,,,,,,,,,,,,,,
Roscommon,21448,,,,,,,,,,,,,,,,,,,
Sligo,23762,,,,,,,,,,,,,,,,,,,
Cavan,22329,,,,,,,,,,,,,,,,,,,
Donegal,46731,,,,,,,,,,,,,,,,,,,
Monaghan,17612,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
